serial_number,drone_type,detection_time,rf_time,time_diff,bandwidth,id_number,rssi,distance
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:25.773,-3.227,10MHz,195,-18.3,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:27.668,-1.3319999999999999,10MHz,195,-17.56,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:27.765,-1.2349999999999999,10MHz,195,-17.58,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:29.220,0.22,10MHz,195,-21.55,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:29.425,0.425,10MHz,195,-18.39,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:29.799,0.799,10MHz,195,-17.52,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:30.965,1.9649999999999999,10MHz,195,-17.42,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:31.074,2.074,10MHz,195,-21.62,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:31.172,2.172,10MHz,195,-18.18,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:31.981,2.981,10MHz,195,-21.68,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:32.915,3.915,10MHz,195,-21.79,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:33.121,4.121,10MHz,195,-18.51,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:33.121,4.121,10MHz,195,-18.22,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:33.934,4.934,10MHz,195,-17.98,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:35.076,6.076,10MHz,195,-20.96,0.026060072401169986
